When	Run Id	Task Id	Event	Owner	Extra
2026-06-02, 13:27:45 UTC		notify_success	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:44 UTC	scheduled__2025-11-11T02:00:00+00:00	load_to_postgres	success	spotify-team	
2026-06-02, 13:27:44 UTC		load_to_postgres	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:44 UTC	scheduled__2025-11-11T02:00:00+00:00	load_to_postgres	running	spotify-team	
2026-06-02, 13:27:44 UTC		load_to_postgres	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:43 UTC	scheduled__2025-11-11T02:00:00+00:00	transform_catalog	success	spotify-team	
2026-06-02, 13:27:43 UTC		transform_catalog	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:43 UTC	scheduled__2025-11-11T02:00:00+00:00	transform_catalog	running	spotify-team	
2026-06-02, 13:27:43 UTC		transform_catalog	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:42 UTC	scheduled__2025-11-11T02:00:00+00:00	validate_schema	success	spotify-team	
2026-06-02, 13:27:41 UTC		validate_schema	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:41 UTC	scheduled__2025-11-11T02:00:00+00:00	validate_schema	running	spotify-team	
2026-06-02, 13:27:41 UTC		validate_schema	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:41 UTC	scheduled__2025-11-11T02:00:00+00:00	extract_from_minio	success	spotify-team	
2026-06-02, 13:27:40 UTC		extract_from_minio	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:40 UTC	scheduled__2025-11-11T02:00:00+00:00	extract_from_minio	running	spotify-team	
2026-06-02, 13:27:40 UTC		extract_from_minio	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:38 UTC	scheduled__2025-11-10T02:00:00+00:00	notify_success	success	spotify-team	
2026-06-02, 13:27:38 UTC		notify_success	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:38 UTC	scheduled__2025-11-10T02:00:00+00:00	notify_success	running	spotify-team	
2026-06-02, 13:27:37 UTC		notify_success	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:37 UTC	scheduled__2025-11-10T02:00:00+00:00	load_to_postgres	success	spotify-team	
2026-06-02, 13:27:37 UTC		load_to_postgres	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local/bin/airflow', 'celery', 'worker']"}
2026-06-02, 13:27:37 UTC	scheduled__2025-11-10T02:00:00+00:00	load_to_postgres	running	spotify-team	
2026-06-02, 13:27:36 UTC		load_to_postgres	cli_task_run	airflow	{"host_name": "4827beaf06bb", "full_command": "['/home/airflow/.local
